Component Name,Part Number,Description,Material,Quantity
2x4 v1,2x4 v1,,Steel,2
2x4 v1 (2),2x4 v1 (2),,Steel,1
2x4 v1 (3),2x4 v1 (3),,Steel,1
2x4 v1 (4),2x4 v1 (4),,Steel,6
2x4 v1 (5),2x4 v1 (5),,Steel,2
2x4 v1 (6),2x4 v1 (6),,,2
Untitled v3,Untitled,,,1
Base - Quantity 1 v1,carter,STEP AP203,Steel,1
Right Handle 2 - Quantity 1 v1,poignee droite - facade 2,STEP AP203,Steel,1
Right Handle 1 - Quantity 1 v1,poignee droite - facade 1,STEP AP203,Steel,1
Left Handle 2 - Quantity 1 v1,poignee - facade 2 GAUCHE,STEP AP203,Steel,1
Center Handle Support - Quantity 2 v1 (1),poignee - CENTER,STEP AP203,Steel,1
Center Handle Support - Quantity 2 v1,poignee - CENTER,STEP AP203,Steel,1
Left Handle 1 - Quantity 1 v1,poignee - facade 1 - GAUCHE,STEP AP203,Steel,1
LCD_MSP2807_fusion v2,2.8''LCD_MSP2807,FreeCAD Model,,1
Board,Board,,,1
plate and holes,plate and holes,,Steel,1
silk_upper,silk_upper,,,1
circle001,circle001,,Steel,1
circle002,circle002,,Steel,1
circle003,circle003,,Steel,1
circle004,circle004,,Steel,1
border001,border001,,Steel,1
border002,border002,,Steel,1
ShapeString101,ShapeString101,,,1
ShapeString099,ShapeString099,,,1
ShapeString100,ShapeString100,,,1
ShapeString104,ShapeString104,,,1
ShapeString102,ShapeString102,,,1
ShapeString103,ShapeString103,,,1
cupper_upper,cupper_upper,,Steel,1
cupper_bottom,cupper_bottom,,Steel,1
mask_bottom,mask_bottom,,Steel,1
silk_bottom,silk_bottom,,,1
res_silk,res_silk,,Steel,1
res_silk001,res_silk001,,Steel,1
res_silk002,res_silk002,,Steel,1
res_silk003,res_silk003,,Steel,1
res_silk004,res_silk004,,Steel,1
res_silk005,res_silk005,,Steel,1
cap_silk001,cap_silk001,,Steel,1
cap_silk_up,cap_silk_up,,Steel,1
cap_silk_dwn,cap_silk_dwn,,Steel,1
cap_silk002,cap_silk002,,Steel,1
cap_silk_up001,cap_silk_up001,,Steel,1
cap_silk_dwn001,cap_silk_dwn001,,Steel,1
sot23_001,sot23_001,,Steel,1
sot23_left,sot23_left,,Steel,1
sot23_right,sot23_right,,Steel,1
sot23_002,sot23_002,,Steel,1
sot23_left001,sot23_left001,,Steel,1
sot23_right001,sot23_right001,,Steel,1
u2_silk002,u2_silk002,,Steel,1
sd_silk001,sd_silk001,,Steel,1
touch,touch,,,1
line_silk001,line_silk001,,Steel,1
line_silk002,line_silk002,,Steel,1
ShapeString109,ShapeString109,,,1
ShapeString067,ShapeString067,,,1
ShapeString105,ShapeString105,,,1
ShapeString106,ShapeString106,,,1
ShapeString107,ShapeString107,,,1
ShapeString108,ShapeString108,,,1
text,text,,,1
ShapeString114,ShapeString114,,,1
ShapeString068,ShapeString068,,,1
ShapeString110,ShapeString110,,,1
ShapeString111,ShapeString111,,,1
ShapeString112,ShapeString112,,,1
ShapeString113,ShapeString113,,,1
ShapeString118,ShapeString118,,,1
ShapeString069,ShapeString069,,,1
ShapeString115,ShapeString115,,,1
ShapeString116,ShapeString116,,,1
ShapeString117,ShapeString117,,,1
ShapeString123,ShapeString123,,,1
ShapeString070,ShapeString070,,,1
ShapeString119,ShapeString119,,,1
ShapeString120,ShapeString120,,,1
ShapeString121,ShapeString121,,,1
ShapeString122,ShapeString122,,,1
ShapeString127,ShapeString127,,,1
ShapeString071,ShapeString071,,,1
ShapeString124,ShapeString124,,,1
ShapeString125,ShapeString125,,,1
ShapeString126,ShapeString126,,,1
ShapeString132,ShapeString132,,,1
ShapeString073,ShapeString073,,,1
ShapeString128,ShapeString128,,,1
ShapeString129,ShapeString129,,,1
ShapeString130,ShapeString130,,,1
ShapeString131,ShapeString131,,,1
ShapeString141,ShapeString141,,,1
ShapeString072,ShapeString072,,,1
ShapeString133,ShapeString133,,,1
ShapeString134,ShapeString134,,,1
ShapeString135,ShapeString135,,,1
ShapeString136,ShapeString136,,,1
ShapeString137,ShapeString137,,,1
ShapeString138,ShapeString138,,,1
ShapeString139,ShapeString139,,,1
ShapeString140,ShapeString140,,,1
ShapeString144,ShapeString144,,,1
ShapeString074,ShapeString074,,,1
ShapeString142,ShapeString142,,,1
ShapeString143,ShapeString143,,,1
ShapeString147,ShapeString147,,,1
ShapeString075,ShapeString075,,,1
ShapeString145,ShapeString145,,,1
ShapeString146,ShapeString146,,,1
ShapeString156,ShapeString156,,,1
ShapeString076,ShapeString076,,,1
ShapeString148,ShapeString148,,,1
ShapeString149,ShapeString149,,,1
ShapeString150,ShapeString150,,,1
ShapeString151,ShapeString151,,,1
ShapeString152,ShapeString152,,,1
ShapeString153,ShapeString153,,,1
ShapeString154,ShapeString154,,,1
ShapeString155,ShapeString155,,,1
ShapeString158,ShapeString158,,,1
ShapeString077,ShapeString077,,,1
ShapeString157,ShapeString157,,,1
ShapeString163,ShapeString163,,,1
ShapeString078,ShapeString078,,,1
ShapeString159,ShapeString159,,,1
ShapeString160,ShapeString160,,,1
ShapeString161,ShapeString161,,,1
ShapeString162,ShapeString162,,,1
ShapeString165,ShapeString165,,,1
ShapeString079,ShapeString079,,,1
ShapeString164,ShapeString164,,,1
ShapeString168,ShapeString168,,,1
ShapeString080,ShapeString080,,,1
ShapeString166,ShapeString166,,,1
ShapeString167,ShapeString167,,,1
ShapeString171,ShapeString171,,,1
ShapeString081,ShapeString081,,,1
ShapeString169,ShapeString169,,,1
ShapeString170,ShapeString170,,,1
ShapeString177,ShapeString177,,,1
ShapeString082,ShapeString082,,,1
ShapeString172,ShapeString172,,,1
ShapeString173,ShapeString173,,,1
ShapeString174,ShapeString174,,,1
ShapeString175,ShapeString175,,,1
ShapeString176,ShapeString176,,,1
ShapeString184,ShapeString184,,,1
ShapeString083,ShapeString083,,,1
ShapeString178,ShapeString178,,,1
ShapeString179,ShapeString179,,,1
ShapeString180,ShapeString180,,,1
ShapeString181,ShapeString181,,,1
ShapeString182,ShapeString182,,,1
ShapeString183,ShapeString183,,,1
ShapeString191,ShapeString191,,,1
ShapeString084,ShapeString084,,,1
ShapeString185,ShapeString185,,,1
ShapeString186,ShapeString186,,,1
ShapeString187,ShapeString187,,,1
ShapeString188,ShapeString188,,,1
